mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
176.0,4,91.0,348.40000000000003,4912.5,15.7,82,3,honda civic (auto)
209.0,4,91.0,348.40000000000003,4987.5,16.2,82,3,datsun 310 gx
137.5,6,181.0,572.0,7362.5,16.4,82,1,buick century limited
209.0,6,262.0,442.0,7537.5,17.0,82,1,oldsmobile cutlass ciera (diesel)
143.0,4,156.0,478.40000000000003,6462.5,14.5,82,1,tesla model s
121.0,6,232.0,582.4,7087.5,14.7,82,1,tata nano
176.0,4,144.0,499.20000000000005,6662.5,13.9,82,3,toyota celica gt
198.0,4,135.0,436.8,5925.0,13.0,82,1,dodge charger 2.2
148.5,4,151.0,468.0,7375.0,17.3,82,1,chevrolet camaro
148.5,4,140.0,447.2,6975.0,15.6,82,1,ford mustang gl
242.0,4,97.0,270.40000000000003,5325.0,24.6,82,2,vw pickup
176.0,4,135.0,436.8,5737.5,11.6,82,1,dodge rampage
154.0,4,120.0,410.8,6562.5,18.6,82,1,ford ranger
170.5,4,119.0,426.40000000000003,6800.0,19.4,82,1,hyundai i20
